r_um,h_waves_633nm,thickness_um
1.097097097097097048e+03,6.725855898194613713e-01,8.514933567114381097e-01
1.101101101101100994e+03,7.539920857874511384e-01,9.545539806069130995e-01
1.105105105105105167e+03,1.036353439816887878e+00,1.312023454808179945e+00
1.109109109109108886e+03,1.312372657523793729e+00,1.661463784425122991e+00
1.113113113113113059e+03,1.333468526447615599e+00,1.688171154482681402e+00
1.117117117117117004e+03,1.066906421213372091e+00,1.350703529256129132e+00
1.121121121121120950e+03,7.615448617491489269e-01,9.641157949744225686e-01
1.125125125125125123e+03,7.271359272746492630e-01,9.205540839297060574e-01
1.129129129129129069e+03,1.032425316664583148e+00,1.307050450897362381e+00
1.133133133133133242e+03,1.429811991983578556e+00,1.810141981851210558e+00
1.137137137137136961e+03,1.596179190129066949e+00,2.020762854703399114e+00
1.141141141141141134e+03,1.455078060528708361e+00,1.842128824629345019e+00
1.145145145145145079e+03,1.252258676104061497e+00,1.585359483947742065e+00
1.149149149149149025e+03,1.301609525951146429e+00,1.647837659854151537e+00
1.153153153153152971e+03,1.657043482031406167e+00,2.097817048251760408e+00
1.157157157157157144e+03,2.047641829170560257e+00,2.592314555729929637e+00
1.161161161161161090e+03,2.147237989412907222e+00,2.718403294596740682e+00
1.165165165165165035e+03,1.904814410572778449e+00,2.411495043785137682e+00
1.169169169169169209e+03,1.594970951639689272e+00,2.019233224775846658e+00
1.173173173173173154e+03,1.532515873226693470e+00,1.940165095504994053e+00
1.177177177177177100e+03,1.742405402671297177e+00,2.205885239781862239e+00
1.181181181181181046e+03,1.927624430623877672e+00,2.440372529169828830e+00
1.185185185185185219e+03,1.776000178378945416e+00,2.248416225827745141e+00
1.189189189189189165e+03,1.298236908103365783e+00,1.643567925658861117e+00
1.193193193193193110e+03,8.506541130577039977e-01,1.076928107131053469e+00
1.197197197197197056e+03,8.095174206264210692e-01,1.024849054513049085e+00
1.201201201201201229e+03,1.213350688530469679e+00,1.536101971679574518e+00
1.205205205205204948e+03,1.723144970848310198e+00,2.181501533093960887e+00
1.209209209209209121e+03,1.936833769960388363e+00,2.452031552769851963e+00
1.213213213213213294e+03,1.750787189046235648e+00,2.216496581332534355e+00
1.217217217217217012e+03,1.427138242109398991e+00,1.806757014510499193e+00
1.221221221221221185e+03,1.323216027232240188e+00,1.675191490476016121e+00
1.225225225225225131e+03,1.561340691973361006e+00,1.976657316038275214e+00
1.229229229229229304e+03,1.948486464950480501e+00,2.466783864627308365e+00
1.233233233233233022e+03,2.187165214398949065e+00,2.768951161429069607e+00
1.237237237237237196e+03,2.139727544836899309e+00,2.708895071763514739e+00
1.241241241241241141e+03,1.894111498757131251e+00,2.397945157426528251e+00
1.245245245245245087e+03,1.614900125248986740e+00,2.044463558565217109e+00
1.249249249249249033e+03,1.380613837819956613e+00,1.747857118680065103e+00
1.253253253253253206e+03,1.182068538370355082e+00,1.496498769576869448e+00
1.257257257257257152e+03,1.041393968584809260e+00,1.318404764228368720e+00
1.261261261261261097e+03,1.064372592451396260e+00,1.347495702043467691e+00
1.265265265265265271e+03,1.328707828091255649e+00,1.682144110363529732e+00
1.269269269269269216e+03,1.730271348047647262e+00,2.190523526628321616e+00
1.273273273273273162e+03,1.996531882392979629e+00,2.527609363109512230e+00
1.277277277277277108e+03,1.911443976522800847e+00,2.419888074277865897e+00
1.281281281281281281e+03,1.546353931128152004e+00,1.957684076808240636e+00
1.285285285285285227e+03,1.239469677483985732e+00,1.569168611694725879e+00
1.289289289289289172e+03,1.298893339582444462e+00,1.644398967911374632e+00
1.293293293293293118e+03,1.698360245850931927e+00,2.150124071247280000e+00
1.297297297297297291e+03,2.077147974120899132e+00,2.629669335237058370e+00
1.301301301301301010e+03,2.074507580711709931e+00,2.626326597181024791e+00
1.305305305305305183e+03,1.690065736297230892e+00,2.139623222152294169e+00
1.309309309309309356e+03,1.311330949086384035e+00,1.660144981543362430e+00
1.313313313313313301e+03,1.358795958837653473e+00,1.720235683888469369e+00
1.317317317317317247e+03,1.875564447273468716e+00,2.374464590248211326e+00
